S.no,Filename,Start Time,End TIme,Size,Altitude,,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,projection,Area
1434,ch2_tmc_ncf_20191201T0311138950_d_img_d18.zip,2019-12-01T03:11:13.895Z,2019-12-01T03:20:45.409Z,1412888000,94.11,View,-1.451738,157.380019,-1.446393,157.998475,27.850346,157.271244,27.854525,158.047169,Selenographic,Equatorial
1435,ch2_tmc_ncn_20220706T0954582422_d_img_d32.zip,2022-07-06T09:54:58.242Z,2022-07-06T10:04:57.100Z,1480472000,119.98,View,61.173866,74.71578,61.137703,73.089209,31.187774,75.652907,31.169317,74.686186,Selenographic,Equatorial
1436,ch2_tmc_nca_20200720T0923576572_d_img_d18.zip,2020-07-20T09:23:57.657Z,2020-07-20T09:34:35.144Z,1577448000,114.45,View,-30.567486,156.132471,-30.572322,155.144926,-62.549853,156.46682,-62.5549,154.617375,Selenographic,Equatorial
1437,ch2_tmc_nca_20221203T1708208906_d_img_d32.zip,2022-12-03T17:08:20.890Z,2022-12-03T17:16:06.113Z,1150120000,115.63,View,46.420366,76.266498,46.413099,77.351308,70.222762,76.358993,70.204038,78.769445,Selenographic,Equatorial
1438,ch2_tmc_nca_20191130T1326533236_d_img_d18.zip,2019-11-30T13:26:53.323Z,2019-11-30T13:36:22.497Z,1407824000,90.88,View,1.064159,164.964321,1.07459,165.556606,30.620461,164.90609,30.631609,165.662301,Selenographic,Equatorial
1439,ch2_tmc_ncn_20210528T0113235902_d_img_hw1.zip,2021-05-28T01:13:23.590Z,2021-05-28T01:20:45.773Z,1091440000,108.09,View,-27.587092,19.952167,-27.590015,-6.422699,-48.793562,24.549353,-48.772146,-11.254988,Selenographic,Equatorial
1440,ch2_tmc_ncf_20200714T1941272256_d_img_d18.zip,2020-07-14T19:41:27.225Z,2020-07-14T19:52:02.100Z,1569528000,104.71,View,-26.836744,-130.392097,-26.869128,-131.33082,-59.009445,-129.28586,-59.048493,-130.794721,Selenographic,Equatorial
1441,ch2_tmc_nca_20200724T0945157369_d_img_d18.zip,2020-07-24T09:45:15.736Z,2020-07-24T09:55:53.692Z,1577120000,112.05,View,-30.488327,103.382698,-30.514957,102.398872,-62.458906,105.055129,-62.499749,103.267188,Selenographic,Equatorial
1442,ch2_tmc_ncf_20191201T0706462483_d_img_d18.zip,2019-12-01T07:06:46.248Z,2019-12-01T07:16:17.759Z,1412880000,94.68,View,-1.361337,155.176553,-1.369552,155.786565,27.925952,155.096455,27.917786,155.864723,Selenographic,Equatorial
1443,ch2_tmc_ncf_20200126T0025369991_d_img_d18.zip,2020-01-26T00:25:36.999Z,2020-01-26T00:35:27.204Z,1459096000,97.48,View,-30.920161,141.109935,-30.910301,140.309115,-0.720479,141.174319,-0.711013,140.47477,Selenographic,Equatorial
1444,ch2_tmc_ncf_20220724T0018097427_d_img_d32.zip,2022-07-24T00:18:09.742Z,2022-07-24T00:28:17.917Z,1501472000,134.17,View,63.215218,-155.38089,63.278328,-157.487041,33.370361,-155.735566,33.446021,-156.91962,Selenographic,Equatorial
1445,ch2_tmc_nca_20200608T1622389722_d_img_d18.zip,2020-06-08T16:22:38.972Z,2020-06-08T16:33:16.921Z,1577128000,109.12,View,63.371456,-15.990856,63.380867,-14.183665,31.174564,-15.401045,31.181196,-14.441383,Selenographic,Equatorial
1446,ch2_tmc_nca_20220621T2104175845_d_img_d32.zip,2022-06-21T21:04:17.584Z,2022-06-21T21:17:35.276Z,1972032000,115.08,View,59.690732,-91.889618,59.686673,-93.571747,19.749271,-91.483681,19.755196,-92.391384,Selenographic,Equatorial
1447,ch2_tmc_nca_20220626T0519239376_d_img_d32.zip,2022-06-26T05:19:23.937Z,2022-06-26T05:46:07.518Z,3964296000,114.61,View,59.242568,-148.171421,59.247351,-149.897691,-20.588502,-149.262899,-20.586876,-150.16232,Selenographic,Equatorial
1448,ch2_tmc_nca_20200107T1812397441_d_img_d18.zip,2020-01-07T18:12:39.744Z,2020-01-07T18:22:30.713Z,1460984000,96.98,View,-27.699453,21.662815,-27.699678,20.862528,2.509972,21.586406,2.509442,20.881502,Selenographic,Equatorial
1449,ch2_tmc_nca_20220605T0955507696_d_img_d32.zip,2022-06-05T09:55:50.769Z,2022-06-05T10:12:30.315Z,2471040000,120.82,View,-6.435338,124.75875,-6.435904,125.661337,-56.339688,124.664827,-56.335248,126.264385,Selenographic,Equatorial
1450,ch2_tmc_nca_20191216T0627459222_d_img_g26.zip,2019-12-16T06:27:45.922Z,2019-12-16T06:30:53.171Z,462920000,86.17,View,10.4144,-42.035986,10.41142,-41.37044,20.062584,-42.017946,20.058677,-41.331002,Selenographic,Equatorial
1451,ch2_tmc_ncn_20211113T1451387610_d_img_d18.zip,2021-11-13T14:51:38.761Z,2021-11-13T15:02:36.727Z,1626616000,96.57,View,-84.887769,99.125811,-84.984805,106.367212,-51.393179,109.883741,-51.40553,110.911825,Selenographic,Equatorial
1452,ch2_tmc_ncn_20191127T0458109204_d_img_d18.zip,2019-11-27T04:58:10.920Z,2019-11-27T05:07:37.314Z,1400232000,81.99,View,-0.374369,-150.371851,-0.375867,-149.886679,29.105169,-150.364323,29.103327,-149.790978,Selenographic,Equatorial
1453,ch2_tmc_nca_20220718T1957202102_d_img_d18.zip,2022-07-18T19:57:20.210Z,2022-07-18T20:07:00.697Z,1435072000,128.13,View,59.512372,-86.907473,59.495647,-88.721774,30.682974,-86.641042,30.672099,-87.740532,Selenographic,Equatorial
1454,ch2_tmc_ncn_20191128T1024372470_d_img_d18.zip,2019-11-28T10:24:37.247Z,2019-11-28T10:34:05.690Z,1405296000,87.6,View,-0.502587,-166.553117,-0.507059,-166.039458,28.954987,-166.652382,28.950509,-166.026157,Selenographic,Equatorial
1455,ch2_tmc_ncn_20220630T1008389740_d_img_d32.zip,2022-06-30T10:08:38.974Z,2022-06-30T10:18:34.735Z,1472800000,115.39,View,1.467667,156.779989,1.46601,156.01865,-28.56237,156.650883,-28.570638,155.770802,Selenographic,Equatorial
1456,ch2_tmc_ncf_20221204T1449565611_d_img_d32.zip,2022-12-04T14:49:56.561Z,2022-12-04T14:57:44.273Z,1156272000,118.96,View,43.287616,64.110949,43.279747,65.117448,67.012111,63.921493,66.99671,66.015856,Selenographic,Equatorial
1457,ch2_tmc_nca_20200617T0115145126_d_img_d18.zip,2020-06-17T01:15:14.512Z,2020-06-17T01:26:01.635Z,1599808000,125.35,View,63.606233,-127.764915,63.645967,-125.796275,31.517016,-126.182327,31.543127,-125.101358,Selenographic,Equatorial
1458,ch2_tmc_ncf_20221129T1034507538_d_img_d32.zip,2022-11-29T10:34:50.753Z,2022-11-29T10:42:39.889Z,1159792000,115.18,View,43.232428,131.812582,43.234399,132.864694,66.864298,131.016259,66.868846,133.078387,Selenographic,Equatorial
1459,ch2_tmc_nca_20210518T1455584863_d_img_d18.zip,2021-05-18T14:55:58.486Z,2021-05-18T15:05:18.982Z,1383464000,105.05,View,-55.759081,129.616685,-55.740415,131.048512,-84.014087,130.920886,-83.964422,138.137773,Polar stereographic,South
1460,ch2_tmc_nca_20200723T1207169437_d_img_d18.zip,2020-07-23T12:07:16.943Z,2020-07-23T12:17:51.947Z,1569848000,110.09,View,-30.428318,115.247527,-30.44551,114.281761,-62.325503,116.733357,-62.35394,114.99054,Selenographic,Equatorial
1461,ch2_tmc_ncf_20200209T0032589097_d_img_gds.zip,2020-02-09T00:32:58.909Z,2020-02-09T00:34:48.740Z,271528000,90.74,View,-30.41061,-43.548224,-30.40855,-44.346377,-24.777633,-43.545128,-24.77563,-44.290799,Selenographic,Equatorial
1462,ch2_tmc_ncf_20200609T1956387174_d_img_d18.zip,2020-06-09T19:56:38.717Z,2020-06-09T20:07:16.666Z,1577128000,108.49,View,60.138266,-31.018226,60.153407,-29.363944,27.962441,-30.511378,27.975393,-29.590396,Selenographic,Equatorial
1463,ch2_tmc_ncn_20220524T0022547922_d_img_d18.zip,2022-05-24T00:22:54.792Z,2022-05-24T00:42:43.660Z,2939096000,101.37,View,1.212826,-71.589701,1.221224,-70.845231,-58.757729,-71.00636,-58.743491,-69.727585,Selenographic,Equatorial
1464,ch2_tmc_nca_20220627T0515152088_d_img_d32.zip,2022-06-27T05:15:15.208Z,2022-06-27T05:25:10.274Z,1471112000,112.27,View,-0.65874,-161.442174,-0.634816,-162.333692,-30.480686,-161.627528,-30.461092,-162.619942,Selenographic,Equatorial
1465,ch2_tmc_ncn_20200113T0552291023_d_img_gds.zip,2020-01-13T05:52:29.102Z,2020-01-13T06:00:23.180Z,1171608000,100.87,View,-24.467897,-50.547734,-24.461438,-51.318035,-0.397988,-50.415585,-0.392373,-51.094323,Selenographic,Equatorial
1466,ch2_tmc_nca_20201125T1827104830_d_img_d32.zip,2020-11-25T18:27:10.483Z,2020-11-25T18:55:35.355Z,4083648000,101.66,View,-40.77401,81.390437,-40.797713,82.392949,43.232554,83.443606,43.211017,84.481551,Selenographic,Equatorial
